"lhs","op","rhs","est","se","z","model","time","effect_type","effect","estRef","Bias","RelBiasPercent","Scenario","ScenarioSubtitle","effect_parsed","model_lab","Scenario_plain"
"Y5","~","X4",0.100000000000156,0.0481663773865666,2.07613703637272,"model_covariates",5,"cross","X[t-1] -> Y[t]",0.100000000000156,0,0,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","True Model","Scenario 0"
"X5","~","Y4",0.150000000000512,0.0491934956864907,3.04918359444223,"model_clpm",5,"cross","Y[t-1] -> X[t]",0.149999999999851,6.61276589042359e-13,4.40851059362011e-10,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","CLPM","Scenario 0"
"Y5","~","X4",0.0999999999994631,0.0481663781589921,2.07613700306412,"model_clpm",5,"cross","X[t-1] -> Y[t]",0.100000000000156,-6.9320937878814e-13,-6.93209378787056e-10,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM","Scenario 0"
"X5","~","Y4",0.149999999991282,0.0510703116960925,2.93712716859644,"model_clpm_lag2",5,"cross","Y[t-1] -> X[t]",0.149999999999851,-8.56892334866188e-12,-5.71261556578027e-09,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","CLPM lag 2","Scenario 0"
"Y5","~","X4",0.100000000008693,0.0489599678867151,2.04248499999175,"model_clpm_lag2",5,"cross","X[t-1] -> Y[t]",0.100000000000156,8.53700443670391e-12,8.53700443669056e-09,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"X5","~","Y4",0.149999986966949,0.0595436986241014,2.51915803742554,"model_dpm",5,"cross","Y[t-1] -> X[t]",0.149999999999851,-1.30329019798481e-08,-8.68860131990736e-06,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","DPM","Scenario 0"
"Y5","~","X4",0.0999999968882998,0.0565078570619234,1.76966535430137,"model_dpm",5,"cross","X[t-1] -> Y[t]",0.100000000000156,-3.11185653634194e-09,-3.11185653633707e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"X5","~","Y4",0.149999980919079,NA,NA,"model_dpm_free",5,"cross","Y[t-1] -> X[t]",0.149999999999851,-1.90807717126429e-08,-1.27205144751079e-05,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","DPM-free","Scenario 0"
"Y5","~","X4",0.100000014948044,NA,NA,"model_dpm_free",5,"cross","X[t-1] -> Y[t]",0.100000000000156,1.49478876221298e-08,1.49478876221065e-05,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
"X5","~","Y4",0.14999999308616,0.0525226394328078,2.85591117860814,"model_riclpm",5,"cross","Y[t-1] -> X[t]",0.149999999999851,-6.91369056449176e-09,-4.60912704299909e-06,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","RICLPM","Scenario 0"
"Y5","~","X4",0.0999999938756359,0.0508870846976866,1.9651350528277,"model_riclpm",5,"cross","X[t-1] -> Y[t]",0.100000000000156,-6.12452046022671e-09,-6.12452046021714e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM","Scenario 0"
"X5","~","Y4",0.150000006822229,NA,NA,"model_riclpm_free",5,"cross","Y[t-1] -> X[t]",0.149999999999851,6.82237777382966e-09,4.54825184922429e-06,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","RICLPM-free","Scenario 0"
"Y5","~","X4",0.099999992573147,NA,NA,"model_riclpm_free",5,"cross","X[t-1] -> Y[t]",0.100000000000156,-7.42700931311013e-09,-7.42700931309852e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"X2","~","Y1",0.150000000000656,0.0455772232523053,3.29111756480402,"model_covariates",2,"cross","Y[t-1] -> X[t]",0.150000000000656,0,0,"Scenario~1","Stable~Confounder~Effects","Y[t-1] %->% X[t]","True Model","Scenario 1"
"Y2","~","X1",0.0999999999992348,0.0444391301706823,2.25026906726468,"model_covariates",2,"cross","X[t-1] -> Y[t]",0.0999999999992348,0,0,"Scenario~1","Stable~Confounder~Effects","X[t-1] %->% Y[t]","True Model","Scenario 1"
"X2","~","Y1",0.181374195937572,0.0404404928535562,4.48496502241868,"model_clpm",2,"cross","Y[t-1] -> X[t]",0.150000000000656,0.0313741959369158,20.916130624519,"Scenario~1","Stable~Confounder~Effects","Y[t-1] %->% X[t]","CLPM","Scenario 1"
"Y2","~","X1",0.139612463408072,0.0388538299021639,3.59327417038741,"model_clpm",2,"cross","X[t-1] -> Y[t]",0.0999999999992348,0.0396124634088367,39.6124634091398,"Scenario~1","Stable~Confounder~Effects","X[t-1] %->% Y[t]","CLPM","Scenario 1"
"X2","~","Y1",0.181374195937819,0.0404404936803141,4.48496493073498,"model_clpm_lag2",2,"cross","Y[t-1] -> X[t]",0.150000000000656,0.0313741959371625,20.9161306246835,"Scenario~1","Stable~Confounder~Effects","Y[t-1] %->% X[t]","CLPM lag 2","Scenario 1"
"Y2","~","X1",0.139612463407787,0.0388538303855345,3.59327412567708,"model_clpm_lag2",2,"cross","X[t-1] -> Y[t]",0.0999999999992348,0.0396124634085523,39.6124634088554,"Scenario~1","Stable~Confounder~Effects","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 1"
