"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"DPM-free",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00476274785494089
"DPM-free",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00363914157795734
"DPM-free",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00843367760757568
"DPM-free",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00838770227086507
"DPM-free",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00865113361013601
"DPM-free",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00921190156576399
"DPM-free",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0168370201842325
"DPM-free",4,"Scenario~0","No~Confounding","Scenario 0",0.0114908756817423
"DPM-free",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",3.30811506710662e-09
"DPM-free",4,"Scenario~2","Step","Scenario 2",3.08430393145216e-08
"DPM-free",4,"Scenario~3*italic('A')","Linear","Scenario 3A",2.91856520446968e-09
"DPM-free",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",4.2451484415038e-08
"DPM-free",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00847310322115363
"DPM-free",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00476917080307807
"DPM-free",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00606021450592216
"DPM-free",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0011264593346341
"DPM-free",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0326469192616319
"DPM-free",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0325818821138356
"DPM-free",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0222560780139097
"DPM-free",5,"Scenario~0","No~Confounding","Scenario 0",1.76322405976461e-08
"DPM-free",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",2.41609118633127e-09
"DPM-free",5,"Scenario~2","Step","Scenario 2",7.16100396777136e-09
"DPM-free",5,"Scenario~3*italic('A')","Linear","Scenario 3A",5.41809970762903e-09
"DPM-free",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",3.6337123531073e-08
"DPM-free",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0114194549185515
"DPM-free",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00768333623773649
"DPM-free",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0202334568456058
"DPM-free",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0328744348609434
"DPM-free",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0397098404445812
"DPM-free",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.055803333398229
"DPM-free",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0117912415936667
"RICLPM",2,"Scenario~0","No~Confounding","Scenario 0",9.40958316390201e-09
"RICLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",6.79180108762673e-09
"RICLPM",2,"Scenario~2","Step","Scenario 2",0.118515460605085
"RICLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.113572444199236
"RICLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0627265658452887
"RICLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0526622159535807
"RICLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00339880755043476
"RICLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0551459635655266
"RICLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00666661042173306
"RICLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0291821760344016
"RICLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00508412445394816
"RICLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0417462964512624
"RICLPM",3,"Scenario~0","No~Confounding","Scenario 0",1.03466770180218e-08
"RICLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.26320973509459e-08
"RICLPM",3,"Scenario~2","Step","Scenario 2",0.0407838527769795
"RICLPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0488731663430867
"RICLPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0617373108800665
"RICLPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0209407543169927
"RICLPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00596712097489667
"RICLPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0224545187851969
"RICLPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00138960370630992
"RICLPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0290056480992544
"RICLPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00786299070761437
"RICLPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0328483187360897
"RICLPM",4,"Scenario~0","No~Confounding","Scenario 0",1.41188939345748e-08
"RICLPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.04098146900422e-08
"RICLPM",4,"Scenario~2","Step","Scenario 2",0.142326193422121
"RICLPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0525792643968216
"RICLPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0838248029695378
"RICLPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.048020958018115
