"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"DPM-free",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00364560163469318
"DPM-free",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00297012757347798
"DPM-free",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0083905202026946
"DPM-free",4,"Scenario~0","No~Confounding","Scenario 0",1.19996469047137e-08
"DPM-free",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.2929664766968e-08
"DPM-free",4,"Scenario~2","Step","Scenario 2",3.43533162628097e-08
"DPM-free",4,"Scenario~3*italic('A')","Linear","Scenario 3A",2.32953365168275e-08
"DPM-free",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",8.0804616263227e-09
"DPM-free",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00904318253918986
"DPM-free",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00692405824669773
"DPM-free",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00629064190704151
"DPM-free",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.000850846991550077
"DPM-free",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.018849987569667
"DPM-free",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0141463649099272
"DPM-free",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0237163050009733
"DPM-free",5,"Scenario~0","No~Confounding","Scenario 0",5.88803448332916e-09
"DPM-free",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.19536232765493e-08
"DPM-free",5,"Scenario~2","Step","Scenario 2",1.20124472197135e-08
"DPM-free",5,"Scenario~3*italic('A')","Linear","Scenario 3A",2.82007717602439e-08
"DPM-free",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",2.30710941941667e-08
"DPM-free",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0110743436764119
"DPM-free",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00894636245552144
"DPM-free",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0200961488519367
"DPM-free",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0145872586110713
