"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"DPM-free",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",8.84176801219105e-10
"DPM-free",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00875641565113347
"DPM-free",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00363308783458986
"DPM-free",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00668748529794888
"DPM-free",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0102028793390121
"DPM-free",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00254180857209471
"DPM-free",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00187580790225286
"DPM-free",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0157937684757897
"DPM-free",5,"Scenario~0","No~Confounding","Scenario 0",6.39348739228662e-09
"DPM-free",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",2.44933921755841e-09
"DPM-free",5,"Scenario~2","Step","Scenario 2",1.33271313429439e-09
"DPM-free",5,"Scenario~3*italic('A')","Linear","Scenario 3A",2.44985652597673e-09
"DPM-free",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",7.14620468356131e-09
"DPM-free",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00900427102708296
"DPM-free",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00340778808820415
"DPM-free",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0173415379779308
"DPM-free",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0141158926714905
"DPM-free",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00169355991449457
"DPM-free",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.000197886180443044
"DPM-free",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.00556722947947556
"RICLPM",2,"Scenario~0","No~Confounding","Scenario 0",7.05722648375318e-09
"RICLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",7.54287646231866e-10
"RICLPM",2,"Scenario~2","Step","Scenario 2",0.0576544800484799
"RICLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0636564521377508
"RICLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.000655916905155957
"RICLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0245681419838109
"RICLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00301964730572292
"RICLPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0255687952991933
"RICLPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.01419524787696
"RICLPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00215152635611134
"RICLPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.000208171055584516
"RICLPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0259761106000117
"RICLPM",3,"Scenario~0","No~Confounding","Scenario 0",6.38381214557171e-09
"RICLPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.76319182865203e-09
